id,timestamp,sensor_dir,sensorvalue_x,sensorvalue_y,sensorvalue_z
228,2025-11-26 12:46:14,2,1176,1531,1469
227,2025-11-26 12:46:14,2,1178,1531,1472
226,2025-11-26 12:46:14,2,1175,1528,1463
225,2025-11-26 12:46:14,2,1172,1528,1461
224,2025-11-26 12:46:14,2,1175,1532,1466
223,2025-11-26 12:46:14,2,1166,1534,1473
222,2025-11-26 12:46:14,2,1169,1533,1472
221,2025-11-26 12:46:14,2,1164,1534,1468
220,2025-11-26 12:46:13,2,1168,1536,1476
219,2025-11-26 12:46:13,2,1168,1534,1475
218,2025-11-26 12:46:13,2,1164,1531,1461
217,2025-11-26 12:46:13,2,1164,1531,1469
216,2025-11-26 12:46:13,2,1171,1534,1465
215,2025-11-26 12:46:13,2,1168,1540,1469
214,2025-11-26 12:46:13,2,1175,1539,1468
213,2025-11-26 12:46:13,2,1172,1546,1470
212,2025-11-26 12:46:13,2,1169,1533,1469
211,2025-11-26 12:46:13,2,1172,1534,1471
210,2025-11-26 12:46:13,2,1169,1535,1471
209,2025-11-26 12:46:13,2,1172,1537,1471
208,2025-11-26 12:46:13,2,1174,1535,1476
207,2025-11-26 12:46:13,2,1173,1538,1473
206,2025-11-26 12:46:13,2,1172,1531,1475
205,2025-11-26 12:46:13,2,1178,1535,1468
204,2025-11-26 12:46:13,2,1171,1530,1466
203,2025-11-26 12:46:13,2,1170,1531,1469
202,2025-11-26 12:46:13,2,1171,1528,1456
201,2025-11-26 12:46:13,2,1173,1531,1466
200,2025-11-26 12:46:03,1,1493,1243,1508
199,2025-11-26 12:46:03,1,1491,1249,1518
198,2025-11-26 12:46:03,1,1491,1251,1509
197,2025-11-26 12:46:03,1,1497,1253,1510
196,2025-11-26 12:46:03,1,1495,1252,1511
195,2025-11-26 12:46:03,1,1496,1255,1513
194,2025-11-26 12:46:03,1,1496,1248,1507
193,2025-11-26 12:46:03,1,1497,1251,1516
192,2025-11-26 12:46:03,1,1489,1253,1509
191,2025-11-26 12:46:03,1,1496,1249,1510
190,2025-11-26 12:46:03,1,1498,1248,1510
189,2025-11-26 12:46:03,1,1491,1252,1513
188,2025-11-26 12:46:03,1,1502,1252,1512
187,2025-11-26 12:46:03,1,1496,1251,1510
186,2025-11-26 12:46:03,1,1501,1249,1510
185,2025-11-26 12:46:03,1,1495,1255,1511
184,2025-11-26 12:46:02,1,1496,1246,1508
183,2025-11-26 12:46:02,1,1493,1256,1513
182,2025-11-26 12:46:02,1,1493,1248,1514
181,2025-11-26 12:46:02,1,1489,1255,1510
180,2025-11-26 12:46:02,1,1493,1258,1513
179,2025-11-26 12:46:02,1,1498,1251,1507
178,2025-11-26 12:46:02,1,1501,1255,1509
177,2025-11-26 12:46:02,1,1495,1251,1513
176,2025-11-26 12:46:02,1,1495,1248,1511
175,2025-11-26 12:46:02,1,1495,1248,1509
174,2025-11-26 12:46:02,1,1494,1249,1513
173,2025-11-26 12:46:02,1,1495,1248,1512
172,2025-11-26 12:46:02,1,1495,1247,1509
171,2025-11-26 12:46:02,1,1493,1248,1513
170,2025-11-26 12:46:02,1,1487,1255,1515
169,2025-11-26 12:46:02,1,1496,1250,1510
168,2025-11-26 12:46:02,1,1497,1242,1510
167,2025-11-26 12:46:02,1,1494,1248,1514
166,2025-11-26 12:46:02,1,1496,1248,1510
165,2025-11-26 12:46:02,1,1501,1255,1509
164,2025-11-26 12:46:02,1,1501,1253,1515
163,2025-11-26 12:46:02,1,1491,1250,1510
